keywords,pulsarId,week_tag
harusnya,0_87317_16_eb19a28cc4d2cc77746e04d2f6c07783,from 2022-12-08 to 2022-12-14
jadi,0_87317_16_eb19a28cc4d2cc77746e04d2f6c07783,from 2022-12-08 to 2022-12-14
sumber,0_87317_16_eb19a28cc4d2cc77746e04d2f6c07783,from 2022-12-08 to 2022-12-14
kesejahteraan,0_87317_16_eb19a28cc4d2cc77746e04d2f6c07783,from 2022-12-08 to 2022-12-14
bukan,0_87317_16_eb19a28cc4d2cc77746e04d2f6c07783,from 2022-12-08 to 2022-12-14
permasalahan,0_87317_16_eb19a28cc4d2cc77746e04d2f6c07783,from 2022-12-08 to 2022-12-14
india-china,0_87317_126_t1_j06ym4v,from 2022-12-08 to 2022-12-14
faceoff,0_87317_126_t1_j06ym4v,from 2022-12-08 to 2022-12-14
pla,0_87317_126_t1_j06ym4v,from 2022-12-08 to 2022-12-14
claims,0_87317_126_t1_j06ym4v,from 2022-12-08 to 2022-12-14
indian,0_87317_126_t1_j06ym4v,from 2022-12-08 to 2022-12-14
troops,0_87317_126_t1_j06ym4v,from 2022-12-08 to 2022-12-14
crossed,0_87317_126_t1_j06ym4v,from 2022-12-08 to 2022-12-14
lac,0_87317_126_t1_j06ym4v,from 2022-12-08 to 2022-12-14
illegally,0_87317_126_t1_j06ym4v,from 2022-12-08 to 2022-12-14
uni,0_87317_16_0f6d737fdf5131333de89fd50973fe1a,from 2022-12-08 to 2022-12-14
eropa,0_87317_16_0f6d737fdf5131333de89fd50973fe1a,from 2022-12-08 to 2022-12-14
akan,0_87317_16_0f6d737fdf5131333de89fd50973fe1a,from 2022-12-08 to 2022-12-14
minta,0_87317_16_0f6d737fdf5131333de89fd50973fe1a,from 2022-12-08 to 2022-12-14
asean,0_87317_16_0f6d737fdf5131333de89fd50973fe1a,from 2022-12-08 to 2022-12-14
tegas,0_87317_16_0f6d737fdf5131333de89fd50973fe1a,from 2022-12-08 to 2022-12-14
soal,0_87317_16_0f6d737fdf5131333de89fd50973fe1a,from 2022-12-08 to 2022-12-14
rusia,0_87317_16_0f6d737fdf5131333de89fd50973fe1a,from 2022-12-08 to 2022-12-14
ktt,0_87317_16_0f6d737fdf5131333de89fd50973fe1a,from 2022-12-08 to 2022-12-14
brussel,0_87317_16_0f6d737fdf5131333de89fd50973fe1a,from 2022-12-08 to 2022-12-14
indian,0_87317_126_t1_j06tzew,from 2022-12-08 to 2022-12-14
chinese,0_87317_126_t1_j06tzew,from 2022-12-08 to 2022-12-14
troops,0_87317_126_t1_j06tzew,from 2022-12-08 to 2022-12-14
clashed,0_87317_126_t1_j06tzew,from 2022-12-08 to 2022-12-14
disputed,0_87317_126_t1_j06tzew,from 2022-12-08 to 2022-12-14
himalayan,0_87317_126_t1_j06tzew,from 2022-12-08 to 2022-12-14
border,0_87317_126_t1_j06tzew,from 2022-12-08 to 2022-12-14
known,0_87317_126_t1_j06tzew,from 2022-12-08 to 2022-12-14
incident,0_87317_126_t1_j06tzew,from 2022-12-08 to 2022-12-14
nuclear-armed,0_87317_126_t1_j06tzew,from 2022-12-08 to 2022-12-14
asian,0_87317_126_t1_j06tzew,from 2022-12-08 to 2022-12-14
powers,0_87317_126_t1_j06tzew,from 2022-12-08 to 2022-12-14
nearly,0_87317_126_t1_j06tzew,from 2022-12-08 to 2022-12-14
years,0_87317_126_t1_j06tzew,from 2022-12-08 to 2022-12-14
uni,0_87317_16_f226d69e94bfa8eafb885e2a22032c10,from 2022-12-08 to 2022-12-14
eropa,0_87317_16_f226d69e94bfa8eafb885e2a22032c10,from 2022-12-08 to 2022-12-14
akan,0_87317_16_f226d69e94bfa8eafb885e2a22032c10,from 2022-12-08 to 2022-12-14
minta,0_87317_16_f226d69e94bfa8eafb885e2a22032c10,from 2022-12-08 to 2022-12-14
asean,0_87317_16_f226d69e94bfa8eafb885e2a22032c10,from 2022-12-08 to 2022-12-14
tegas,0_87317_16_f226d69e94bfa8eafb885e2a22032c10,from 2022-12-08 to 2022-12-14
soal,0_87317_16_f226d69e94bfa8eafb885e2a22032c10,from 2022-12-08 to 2022-12-14
rusia,0_87317_16_f226d69e94bfa8eafb885e2a22032c10,from 2022-12-08 to 2022-12-14
ktt,0_87317_16_f226d69e94bfa8eafb885e2a22032c10,from 2022-12-08 to 2022-12-14
brussel,0_87317_16_f226d69e94bfa8eafb885e2a22032c10,from 2022-12-08 to 2022-12-14
roadside,0_87317_16_5035b98fe936a1de7b63dd4563fa465a,from 2022-12-08 to 2022-12-14
bomb,0_87317_16_5035b98fe936a1de7b63dd4563fa465a,from 2022-12-08 to 2022-12-14
kills,0_87317_16_5035b98fe936a1de7b63dd4563fa465a,from 2022-12-08 to 2022-12-14
iraq,0_87317_16_5035b98fe936a1de7b63dd4563fa465a,from 2022-12-08 to 2022-12-14
soldiers,0_87317_16_5035b98fe936a1de7b63dd4563fa465a,from 2022-12-08 to 2022-12-14
peneliti,0_87317_16_fa8d4e9b4989cbdf8ee27656f00043bc,from 2022-12-08 to 2022-12-14
kebangkitan,0_87317_16_fa8d4e9b4989cbdf8ee27656f00043bc,from 2022-12-08 to 2022-12-14
militer,0_87317_16_fa8d4e9b4989cbdf8ee27656f00043bc,from 2022-12-08 to 2022-12-14
china,0_87317_16_fa8d4e9b4989cbdf8ee27656f00043bc,from 2022-12-08 to 2022-12-14
ketegangan,0_87317_16_fa8d4e9b4989cbdf8ee27656f00043bc,from 2022-12-08 to 2022-12-14
meningkat,0_87317_16_fa8d4e9b4989cbdf8ee27656f00043bc,from 2022-12-08 to 2022-12-14
kawasan,0_87317_16_fa8d4e9b4989cbdf8ee27656f00043bc,from 2022-12-08 to 2022-12-14
indo-pasifik,0_87317_16_fa8d4e9b4989cbdf8ee27656f00043bc,from 2022-12-08 to 2022-12-14
clash,0_87317_126_t1_j06ohbg,from 2022-12-08 to 2022-12-14
indian,0_87317_126_t1_j06ohbg,from 2022-12-08 to 2022-12-14
chinese,0_87317_126_t1_j06ohbg,from 2022-12-08 to 2022-12-14
